Epoch number,number of human population,number of humans killed by zombie,number of humans starved to death,number of zombie population,number of zombies killed by humans
0,10000,0,0,35,0,
1,9940,60,0,17,78,
2,9903,97,0,17,115,
3,9856,144,0,12,167,
4,9814,186,0,8,213,
5,9787,213,0,11,237,
6,9736,264,0,17,282,
7,9697,303,0,23,315,
8,9663,337,0,27,345,
9,9619,381,0,27,389,
10,9587,413,0,27,421,
11,9557,443,0,31,447,
12,9462,538,0,35,538,
13,9385,615,0,41,609,
14,9334,666,0,42,659,
15,9291,709,0,42,702,
16,9230,770,0,45,760,
17,9139,861,0,45,851,
18,9120,880,0,45,870,
19,9086,914,0,45,904,
20,9079,921,0,45,911,
21,9014,986,0,69,952,
22,8960,1040,0,74,1001,
23,8918,1082,0,94,1023,
24,8874,1126,0,94,1067,
25,8842,1158,0,94,1099,
26,8738,1262,0,79,1218,
27,8688,1312,0,94,1253,
28,8653,1347,0,108,1274,
29,8613,1387,0,97,1325,
30,8586,1414,0,105,1344,
31,8500,1500,0,105,1430,
32,8462,1538,0,105,1468,
33,8450,1550,0,105,1480,
34,8421,1579,0,105,1509,
35,8395,1605,0,109,1531,
36,8335,1665,0,114,1586,
37,8291,1709,0,129,1615,
38,8254,1746,0,129,1652,
39,8192,1808,0,129,1714,
40,8151,1849,0,134,1750,
41,8107,1893,0,137,1791,
42,8088,1912,0,141,1806,
43,8044,1956,0,141,1850,
44,8031,1969,0,141,1863,
45,8005,1995,0,160,1870,
46,7967,2033,0,169,1899,
47,7943,2057,0,175,1917,
48,7897,2103,0,194,1944,
49,7830,2170,0,194,2011,
50,7789,2211,0,194,2052,
51,7778,2222,0,194,2063,
52,7712,2288,0,198,2125,
53,7683,2317,0,207,2145,
54,7624,2376,0,228,2183,
55,7599,2401,0,228,2208,
56,7580,2420,0,228,2227,
57,7510,2490,0,228,2297,
58,7480,2520,0,228,2327,
59,7467,2533,0,228,2340,
60,7444,2556,0,235,2356,
61,7416,2584,0,237,2382,
62,7374,2626,0,247,2414,
63,7344,2656,0,247,2444,
64,7309,2691,0,273,2453,
65,7268,2732,0,294,2473,
66,7249,2751,0,301,2485,
67,7244,2756,0,301,2490,
68,7201,2799,0,301,2533,
69,7196,2804,0,301,2538,
70,7155,2845,0,301,2579,
71,7093,2907,0,301,2641,
72,7047,2953,0,308,2680,
73,7023,2977,0,312,2700,
74,6990,3010,0,313,2732,
75,6931,3069,0,314,2790,
76,6880,3120,0,314,2841,
77,6853,3147,0,314,2868,
78,6826,3174,0,319,2890,
79,6782,3218,0,324,2929,
80,6749,3251,0,327,2959,
81,6685,3315,0,327,3023,
82,6665,3335,0,327,3043,
83,6648,3352,0,332,3055,
84,6570,3430,0,336,3129,
85,6510,3490,0,339,3186,
86,6502,3498,0,339,3194,
87,6472,3528,0,339,3224,
88,6459,3541,0,314,3262,
89,6412,3588,0,318,3305,
90,6392,3608,0,322,3321,
91,6375,3625,0,323,3337,
92,6327,3673,0,323,3385,
93,6276,3724,0,323,3436,
94,6237,3763,0,323,3475,
95,6212,3788,0,323,3500,
96,6186,3814,0,323,3526,
97,6172,3828,0,324,3539,
98,6163,3837,0,328,3544,
99,6143,3857,0,330,3562,
100,6048,3952,0,330,3657,
101,6012,3988,0,318,3705,
102,5999,4001,0,325,3711,
103,5970,4030,0,328,3737,
104,5914,4086,0,328,3793,
105,5902,4098,0,328,3805,
106,5883,4117,0,329,3823,
107,5864,4136,0,329,3842,
108,5847,4153,0,332,3856,
109,5838,4162,0,332,3865,
110,5826,4174,0,332,3877,
111,5805,4195,0,339,3891,
112,5792,4208,0,344,3899,
113,5757,4243,0,345,3933,
114,5712,4288,0,347,3976,
115,5695,4305,0,348,3992,
116,5654,4346,0,348,4033,
117,5631,4369,0,348,4056,
